"ID","X","Y","Z"
344,3865.819,5768.002,3945.5
344,3903.79,5759.994,3945.5
344,3909.152,5750.276,3945.5
344,3905.642,5747.316,3945.5
344,3896.208,5754.273,3945.5
344,3888.382,5757.779,3945.5
344,3880.811,5759.31,3945.5
344,3872.144,5760.344,3945.5
344,3861.03,5762.356,3945.5
345,3588.535,5320.55,3975.5
345,3608.739,5305.65,3975.5
345,3607.436,5301.422,3975.5
345,3583.358,5318.197,3975.5
345,3580.97,5327.579,3975.5
345,3585.652,5328.652,3975.5
346,4547.147,6109.201,4275.5
346,4537.571,6123.022,4275.5
346,4503.813,6154.045,4275.5
346,4498.337,6148.495,4275.5
346,4533.786,6120.241,4275.5
346,4545.124,6107.163,4275.5
347,4532.536,5296.003,4260.5
347,4540.385,5323.152,4260.5
347,4556.703,5310.455,4260.5
347,4570.053,5311.074,4260.5
347,4574.314,5317.589,4260.5
347,4586.133,5313.301,4260.5
347,4578.795,5285.999,4260.5
347,4563.182,5291.357,4260.5
347,4549.999,5309.38,4260.5
348,3769.047,5543.378,3945.5
348,3763.021,5537.555,3945.5
348,3757.465,5538.721,3945.5
348,3768.479,5551.078,3945.5
349,3164.908,4622.825,4155.5
349,3132.502,4632.068,4155.5
349,3132.875,4633.302,4155.5
349,3167.452,4624.693,4155.5
350,3345.425,5034.215,4020.5
350,3359.338,5020.38,4020.5
350,3370.474,5031.421,4020.5
350,3355.783,5045.368,4020.5
351,4477.099,6155.973,4275.5
351,4479.939,6158.788,4275.5
351,4455.227,6163.087,4275.5
351,4440.638,6165.06,4275.5
351,4440.201,6161.69,4275.5
352,4092.603,6259.989,4290.5
352,4094.694,6256.153,4290.5
352,4122.868,6264.531,4290.5
352,4122.841,6266.931,4290.5
353,4622.453,5224.965,4260.5
353,4625.862,5222.95,4260.5
353,4624.246,5202.497,4260.5
353,4625.252,5189.719,4260.5
353,4624.007,5181.77,4260.5
353,4621.527,5171.282,4260.5
353,4608.709,5171.372,4260.5
353,4613.865,5191.747,4260.5
354,3270.902,6225.77,4560.5
354,3288.487,6208.252,4560.5
354,3296.362,6216.082,4560.5
354,3295.498,6227.253,4560.5
354,3279.682,6234.777,4560.5
355,4733.106,5525.128,4260.5
355,4728.938,5508.421,4260.5
355,4710.16,5513.106,4260.5
355,4710.933,5520.861,4260.5
355,4713.881,5524.831,4260.5
355,4717.206,5526.322,4260.5
355,4722.594,5527.468,4260.5
355,4728.442,5527.125,4260.5
356,4008.103,5260.669,3900.5
356,4007.912,5294.658,3900.5
356,4005.318,5291.905,3900.5
356,4004.449,5283.646,3900.5
356,4004.069,5261.024,3900.5
357,4512.4,5779.589,4260.5
357,4502.268,5794.736,4260.5
357,4491.366,5790.984,4260.5
357,4499.481,5778.382,4260.5
358,3408.776,5133.467,4005.5
358,3416.794,5118.429,4005.5
358,3456.66,5159.944,4005.5
358,3459.2,5163.867,4005.5
358,3439.146,5180.62,4005.5
358,3444.957,5187.29,4005.5
358,3454.065,5201.599,4005.5
358,3449.697,5203.601,4005.5
358,3437.552,5187.145,4005.5
358,3417.972,5166.625,4005.5
358,3429.966,5154.632,4005.5
359,4225.982,6208.085,4275.5
359,4226.259,6217.737,4275.5
359,4191.074,6224.547,4275.5
359,4168.202,6219.192,4275.5
359,4169.595,6211.802,4275.5
359,4175.46,6210.189,4275.5
359,4182.38,6211.466,4275.5
359,4191.702,6210.575,4275.5
359,4203.437,6214.399,4275.5
359,4212.403,6213.08,4275.5
360,4567.402,5159.732,4260.5
360,4588.428,5183.858,4260.5
360,4558.672,5182.055,4260.5
360,4545.734,5168.479,4260.5
361,4094.033,5558.269,3885.5
361,4091.003,5561.237,3885.5
361,4086.956,5570.633,3885.5
361,4083.94,5575.889,3885.5
361,4081.958,5577.526,3885.5
361,4079.753,5578.289,3885.5
361,4081.464,5580.375,3885.5
361,4084.452,5580.292,3885.5
362,4674.656,5838.306,4260.5
362,4686.035,5821.47,4260.5
362,4666.276,5818.282,4260.5
363,3279.671,4580.008,4155.5
363,3274.453,4567.359,4155.5
363,3292.15,4542.837,4155.5
363,3290.009,4534.574,4155.5
363,3304.702,4524.06,4155.5
363,3309.981,4531.19,4155.5
363,3303.849,4537.235,4155.5
363,3311.415,4546.612,4155.5
363,3296.824,4559.497,4155.5
364,3741.375,5585.1,3945.5
364,3714.631,5598.218,3945.5
