"EAST","NORTH","ELEV","AREA","CU","ZN","MO","FE"
3500.64,5165.16,3990.5,474,0.46,0.03,0.075,2.96
3504.17,5161.62,3990.5,474,0.63,0.05,0.072,5.42
3507.71,5158.09,3990.5,474,0.65,0.03,0.106,4.17
3511.24,5154.55,3990.5,474,0.1,0.02,0.121,1.36
3514.78,5151.02,3990.5,94,0.11,0.02,0.132,1.02
3518.31,5147.48,3990.5,94,0.12,0.02,0.091,1.08
3521.85,5143.95,3990.5,94,0.11,0.05,0.073,1.77
3525.39,5140.41,3990.5,94,0.48,0.11,0.07,2.24
3528.92,5136.87,3990.5,94,0.09,0.04,0.061,1.03
3458.21,5214.66,3990.5,476,2.44,2.62,0.056,14.9
3461.75,5211.12,3990.5,476,2.77,2.78,0.057,14.57
3465.28,5207.58,3990.5,476,2.55,3.39,0.01,16.74
3468.82,5204.05,3990.5,476,2.51,0.74,0.007,19.99
3472.35,5200.51,3990.5,476,2.38,0.84,0.008,18.82
3475.89,5196.98,3990.5,476,2.23,0.74,0.01,19.23
3479.42,5193.44,3990.5,476,1.75,0.55,0.011,20.15
3482.96,5189.91,3990.5,476,1.63,0.56,0.013,18.28
3486.49,5186.37,3990.5,474,1.71,0.41,0.022,19.45
3490.03,5182.84,3990.5,474,1.97,0.26,0.05,18.42
3493.57,5179.3,3990.5,474,0.72,0.07,0.079,10.76
3497.1,5175.77,3990.5,474,0.38,0.05,0.091,7.92
3500.64,5172.23,3990.5,474,0.43,0.03,0.094,6.83
3504.17,5168.69,3990.5,474,0.46,0.03,0.08,3.85
3507.71,5165.16,3990.5,474,0.5,0.04,0.064,6.55
3511.24,5161.62,3990.5,474,0.09,0.03,0.071,4.64
3514.78,5158.09,3990.5,474,0.1,0.02,0.091,1.35
3518.31,5154.55,3990.5,94,0.11,0.01,0.096,1.12
3521.85,5151.02,3990.5,94,0.11,0.02,0.086,1.36
3525.39,5147.48,3990.5,94,0.11,0.05,0.063,4.39
3528.92,5143.95,3990.5,94,0.56,0.06,0.058,4.48
3532.46,5140.41,3990.5,94,0.08,0.03,0.053,1.16
3461.75,5218.19,3990.5,476,2.62,0.5,0.042,14.75
3465.28,5214.66,3990.5,476,3.21,0.47,0.024,14.96
3468.82,5211.12,3990.5,476,2.53,0.6,0.012,17.64
3472.35,5207.58,3990.5,476,1.85,0.56,0.008,20.38
3475.89,5204.05,3990.5,476,2.06,0.68,0.011,19.54
3479.42,5200.51,3990.5,476,2.16,0.68,0.016,19.46
3482.96,5196.98,3990.5,476,2.14,0.51,0.02,19.04
3486.49,5193.44,3990.5,474,2,0.85,0.026,16.71
3490.03,5189.91,3990.5,474,1.92,0.44,0.023,16.37
3493.57,5186.37,3990.5,474,2.11,0.21,0.037,13.22
3497.1,5182.84,3990.5,474,0.34,0.05,0.06,10.29
3500.64,5179.3,3990.5,474,0.6,0.03,0.083,7.78
3504.17,5175.77,3990.5,474,0.5,0.04,0.085,6.4
3507.71,5172.23,3990.5,474,0.5,0.03,0.065,6.03
3511.24,5168.69,3990.5,368,0.45,0.03,0.06,5.16
3514.78,5165.16,3990.5,368,0.11,0.02,0.066,2.97
3518.31,5161.62,3990.5,368,0.1,0.01,0.078,1.16
3521.85,5158.09,3990.5,365,0.1,0.01,0.074,1.09
3525.39,5154.55,3990.5,365,0.1,0.01,0.066,1.36
3528.92,5151.02,3990.5,365,0.11,0.03,0.06,1.13
3532.46,5147.48,3990.5,94,0.62,0.06,0.057,5.65
3535.99,5143.95,3990.5,94,0.08,0.03,0.057,1
3465.28,5221.73,3990.5,174,2.03,0.21,0.058,12.79
3468.82,5218.19,3990.5,174,1.36,0.22,0.023,14.03
3472.35,5214.66,3990.5,174,1.48,0.35,0.012,15.56
3475.89,5211.12,3990.5,174,1.42,0.56,0.01,17.9
3479.42,5207.58,3990.5,174,1.95,0.55,0.017,19.18
3482.96,5204.05,3990.5,174,2.19,0.56,0.023,19.54
