"x","y","z","hora"
3771.6,5607.68,3938.23,8
3772.16,5603.84,3938.23,8
3771.8,5604.48,3938.23,8
3771.96,5604.48,3938.31,8
3771.52,5608.32,3938.31,8
3771.56,5605.12,3938.31,8
3773.34,5600.64,3938.31,8
3775.92,5599.36,3938.53,8
3775.68,5600,3938.53,8
3776.46,5600,3938.53,8
3773.1,5603.84,3938.53,8
3775.38,5599.36,3938.53,8
3773.66,5602.56,3938.53,8
3772.36,5607.04,3938.53,8
3776.64,5532.16,3937.83,5
3786.4,5535.36,3937.83,5
3785.5,5534.72,3937.83,5
3782.88,5532.16,3937.83,5
3776.72,5528.96,3937.83,5
3787.16,5536,3937.83,5
3785.68,5534.72,3937.96,5
3769.94,5536,3938.03,5
3775.44,5530.88,3937.66,5
3778.4,5532.16,3937.66,5
3780.16,5532.16,3937.66,5
3769.78,5532.8,3937.66,5
3779.28,5532.8,3937.66,5
3769.94,5536,3937.66,5
3779.12,5532.16,3937.75,5
3777.56,5533.44,3937.89,5
3775.4,5533.44,3937.75,5
3772.46,5534.08,3937.75,5
3780.24,5533.44,3937.75,5
3776.72,5534.08,3937.75,5
3774.16,5534.08,3937.75,5
3781.56,5534.08,3937.81,5
3778.48,5533.44,3937.81,5
3772.84,5532.16,3937.81,5
3779.12,5532.16,3937.81,5
3774.56,5532.16,3937.81,5
3782.46,5534.72,3937.81,5
3780.08,5533.44,3937.34,5
3777.84,5534.08,3937.67,5
3774.72,5533.44,3937.5,5
3771.02,5534.72,3937.5,5
3781.62,5534.08,3937.5,5
3777.84,5534.08,3937.5,5
3764.56,5599.36,3937.61,2
3776.36,5585.92,3937.61,2
3779.56,5584.64,3937.38,2
3768,5587.84,3937.38,2
3773.02,5585.92,3937.38,2
3776.36,5585.92,3937.38,2
3767.1,5594.24,3937.38,2
3768.24,5590.4,3937.38,2
3767.44,5603.84,3937.43,2
3778.6,5585.28,3937.81,2
3768.88,5588.48,3937.81,2
3770.2,5587.84,3937.81,2
3784.44,5630.72,3939.01,10
3783.48,5626.24,3938.82,10
3785.76,5633.28,3938.82,10
3784.48,5628.8,3938.82,10
3786.04,5639.04,3938.82,10
3783.8,5608.96,3938.14,10
3775,5625.6,3938.14,10
3778.2,5624.32,3937.71,10
3777,5613.44,3937.71,10
3775.36,5616,3937.71,10
3776,5613.44,3937.71,10
3918.92,5672.96,3937.84,10
3918.12,5672.96,3937.92,10
3928,5696.64,3937.92,10
3926.36,5685.76,3937.72,10
3927.64,5689.6,3937.72,10
3928.12,5693.44,3937.72,10
