ID,X,Y,Z,name,material
354,3283.632,6221.515,4560.500,17/07,B
355,4721.633,5517.945,4260.500,27/03,A
356,4006.086,5277.663,3900.500,01/01,A
357,4501.883,5786.559,4260.500,36/01,M4B
358,3433.988,5161.015,4005.500,06/03,M4B
359,4197.230,6216.316,4275.500,20/05,B
360,4567.081,5171.795,4260.500,30/03,M4B
361,4086.893,5569.322,3885.500,11/01,M1
362,4676.156,5828.294,4260.500,33/01,A
363,3292.934,4552.034,4155.500,25/05,A
364,3719.506,5578.683,3945.500,01/02,M1
365,3532.370,5161.542,3990.500,01/05,A
366,3469.025,5159.926,3990.500,01/01,M4B
367,3908.445,5495.125,3960.500,11/08,M1
368,3527.133,5177.757,3990.500,01/03,M2
369,2615.844,5439.346,4560.500,13/01,C
370,4617.972,6014.712,4275.500,41/01,A
371,3237.342,5087.915,4050.500,01/05,C
372,3934.215,5745.581,3945.500,12/04,M1
373,3271.829,4985.446,4020.500,12/04,M2A
374,4218.316,6223.535,4275.500,27/03,C
375,3160.618,4655.170,4155.500,28/02,A
376,3046.624,6255.084,4575.500,15/02,B
377,4978.400,5387.616,4365.500,01/03,A
378,3527.437,5370.236,3975.500,03/03,A
379,4555.666,5283.651,4260.500,26/01,M2A
380,4492.467,5798.648,4260.500,36/02,A
381,4763.073,5508.351,4260.500,34/03,B
382,3292.554,4929.825,4020.500,04/01,M2A
383,4769.163,5391.634,4260.500,34/07,A
384,3824.567,5375.665,3960.500,11/05,A
385,4077.721,5422.574,3885.500,11/01,M1
386,3266.130,4998.966,4020.500,12/05,A
387,4487.967,5827.893,4260.500,22/10,M4B
388,3665.046,5337.299,3960.500,27/05,A
389,3319.060,4996.708,4020.500,04/05,A
390,4878.584,5529.847,4275.500,45/04,B
391,4508.697,5801.387,4260.500,22/11,A
392,3031.893,6277.495,4590.500,05/05,B
393,3760.311,5525.262,3945.500,11/03,A
394,3620.046,5570.951,3960.500,03/01,M4B
395,3613.218,5382.074,3960.500,27/01,M2
396,3316.252,5030.132,4020.500,12/07,A
397,3759.113,5683.163,3945.500,03/08,M4B
398,4215.731,4916.421,4065.500,01/07,A
399,4215.339,4715.275,4260.500,04/05,B
400,3398.065,5032.625,4005.500,03/07,M4B
401,3194.750,4956.121,4035.500,12/10,A
402,2828.522,5927.432,4560.500,05/01,C
403,4481.162,5838.802,4260.500,22/03,A
404,3239.622,4551.635,4155.500,26/07,M4B
405,3360.182,4488.204,4155.500,26/01,A
406,3353.809,4508.953,4155.500,25/01,M2A
407,3035.292,6391.470,4590.500,05/07,C
408,4480.644,5130.816,4260.500,29/06,A
409,4595.526,5128.661,4103.000,28/04,A
410,3257.815,5073.138,4050.500,01/04,B
411,3326.044,4514.180,4155.500,25/06,M2A
412,3963.226,5706.441,3945.500,12/05,M1
413,4245.565,6236.010,4275.500,27/02,A
414,3645.652,5542.926,3960.500,11/05,M1
415,3174.129,5028.265,4050.500,01/02,A
416,4593.799,5182.751,4260.500,30/09,M2A
417,4158.366,6214.713,4275.500,20/04,C
418,3541.556,6544.416,4590.500,25/05,C
419,4136.473,6268.741,4290.500,20/05,C
420,3115.219,4639.577,4155.500,28/01,M6
421,2971.978,6209.873,4605.500,13/05,B
422,4881.572,5551.656,4275.500,45/03,A
423,3709.745,5285.536,3960.500,26/08,A
424,3113.922,6015.246,4560.500,17/01,C
425,3312.777,4533.276,4155.500,25/03,M2A
426,3535.399,5327.552,3975.500,03/01,A
427,3574.326,4480.290,4140.500,22/01,A
428,4003.320,5484.343,3885.500,11/05,M1
429,4581.163,5317.538,4260.500,26/03,M4B
430,3669.138,5264.216,3975.500,06/03,M1
431,4821.907,5627.902,4260.500,33/08,C
432,3374.380,5055.561,4005.500,03/08,A
433,4533.519,5775.810,4260.500,22/12,M4B
434,3597.519,5219.561,3990.500,01/10,M2
435,3253.938,4608.262,4155.500,27/02,M2A
436,3199.510,4610.124,4155.500,28/05,A
437,3905.219,5615.429,3945.500,12/09,M1
438,4797.153,5673.865,4260.500,33/05,A
439,4536.541,6167.252,4275.500,02/05,C
